,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,tba-1,Unkn,N2,78.5
,A02,SYBR,tba-1,Unkn,N2,79.5
,A03,SYBR,tba-1,Unkn,N2,79.5
,A04,SYBR,tba-1,Unkn,FAU5,79.5
,A05,SYBR,tba-1,Unkn,FAU5,79.5
,A06,SYBR,tba-1,Unkn,FAU5,79.5
,A07,SYBR,tba-1,Unkn,N2 treated,79.5
,A08,SYBR,tba-1,Unkn,N2 treated,79.5
,A09,SYBR,tba-1,Unkn,N2 treated,79.5
,A10,SYBR,tba-1,Unkn,,79.5
,A11,SYBR,tba-1,Unkn,,79
,A12,SYBR,tba-1,Unkn,,63.5
,A12,SYBR,tba-1,Unkn,,62
,B01,SYBR,oac-7,Unkn,N2,78
,B02,SYBR,oac-7,Unkn,N2,78
,B03,SYBR,oac-7,Unkn,N2,78
,B04,SYBR,oac-7,Unkn,FAU5,78
,B05,SYBR,oac-7,Unkn,FAU5,78
,B06,SYBR,oac-7,Unkn,FAU5,78
,B07,SYBR,oac-7,Unkn,N2 treated,78
,B08,SYBR,oac-7,Unkn,N2 treated,78
,B09,SYBR,oac-7,Unkn,N2 treated,78
,B10,SYBR,oac-7,Unkn,,78
,B11,SYBR,oac-7,Unkn,,78
,B12,SYBR,oac-7,Unkn,,76
,C01,SYBR,ugt-31,Unkn,N2,77
,C02,SYBR,ugt-31,Unkn,N2,77
,C03,SYBR,ugt-31,Unkn,N2,77
,C04,SYBR,ugt-31,Unkn,FAU5,77.5
,C05,SYBR,ugt-31,Unkn,FAU5,77.5
,C06,SYBR,ugt-31,Unkn,FAU5,77.5
,C07,SYBR,ugt-31,Unkn,N2 treated,77.5
,C08,SYBR,ugt-31,Unkn,N2 treated,77
,C09,SYBR,ugt-31,Unkn,N2 treated,77
,C10,SYBR,ugt-31,Unkn,,77.5
,C11,SYBR,ugt-31,Unkn,,77.5
,C12,SYBR,ugt-31,Unkn,,77
,D01,SYBR,t22f3.11,Unkn,N2,75.5
,D02,SYBR,t22f3.11,Unkn,N2,76
,D03,SYBR,t22f3.11,Unkn,N2,75.5
,D04,SYBR,t22f3.11,Unkn,FAU5,77
,D05,SYBR,t22f3.11,Unkn,FAU5,77
,D06,SYBR,t22f3.11,Unkn,FAU5,77.5
,D07,SYBR,t22f3.11,Unkn,N2 treated,77.5
,D07,SYBR,t22f3.11,Unkn,N2 treated,74
,D08,SYBR,t22f3.11,Unkn,N2 treated,77
,D08,SYBR,t22f3.11,Unkn,N2 treated,74.5
,D09,SYBR,t22f3.11,Unkn,N2 treated,77
,D09,SYBR,t22f3.11,Unkn,N2 treated,74.5
,D10,SYBR,t22f3.11,Unkn,,77.5
,D11,SYBR,t22f3.11,Unkn,,75
,D12,SYBR,t22f3.11,Unkn,,77.5
,E01,SYBR,ugt-29,Unkn,N2,77
,E02,SYBR,ugt-29,Unkn,N2,76.5
,E03,SYBR,ugt-29,Unkn,N2,77
,E04,SYBR,ugt-29,Unkn,FAU5,76.5
,E05,SYBR,ugt-29,Unkn,FAU5,76.5
,E06,SYBR,ugt-29,Unkn,FAU5,77
,E07,SYBR,ugt-29,Unkn,N2 treated,76.5
,E08,SYBR,ugt-29,Unkn,N2 treated,76.5
,E09,SYBR,ugt-29,Unkn,N2 treated,76.5
,E10,SYBR,ugt-29,Unkn,,76.5
,E11,SYBR,ugt-29,Unkn,,76.5
,E12,SYBR,ugt-29,Unkn,,77
,F01,SYBR,ugt-29,NRT,N2,None
,F02,SYBR,ugt-31,NRT,N2,None
,F03,SYBR,t22f3.11,NRT,N2,None
,F04,SYBR,oac-7,NRT,N2,None
,F05,SYBR,tba-1,NRT,FAU5 treated,None
,F06,SYBR,tba-1,NRT,N2,None
,F07,SYBR,tba-1,NRT,N2 treated,None
,F08,SYBR,tba-1,NRT,FAU5,None
,G01,SYBR,ugt-29,NRT,N2 treated,None
,G02,SYBR,ugt-31,NRT,N2 treated,None
,G03,SYBR,t22f3.11,NRT,N2 treated,None
,G04,SYBR,oac-7,NRT,N2 treated,None
,H01,SYBR,ugt-29,NRT,FAU5,None
,H02,SYBR,ugt-31,NRT,FAU5,None
,H03,SYBR,t22f3.11,NRT,FAU5,None
,H04,SYBR,oac-7,NRT,FAU5,None
