,Well,Fluor,Target,Content,Sample,Cq,SQ
,A02,SYBR,tba-1,NRT,N2,29.2818058132907,NaN
,A03,SYBR,tba-1,Unkn,N2,23.1483315556657,NaN
,A04,SYBR,tba-1,Unkn,N2,23.1059331307413,NaN
,A05,SYBR,tba-1,Unkn,N2,23.063399409712,NaN
,A06,SYBR,tba-1,Unkn,FAU5,21.4794643355471,NaN
,A07,SYBR,tba-1,Unkn,FAU5,21.4601332538414,NaN
,A08,SYBR,tba-1,Unkn,FAU5,21.4079613091566,NaN
,A09,SYBR,tba-1,NRT,N2,31.268415269291,NaN
,B02,SYBR,oac-7,NRT,N2,36.8504528148488,NaN
,B03,SYBR,oac-7,Unkn,N2,29.0151821022596,NaN
,B04,SYBR,oac-7,Unkn,N2,28.7913067050547,NaN
,B05,SYBR,oac-7,Unkn,N2,28.7667143484565,NaN
,B06,SYBR,oac-7,Unkn,FAU5,23.4783881825225,NaN
,B07,SYBR,oac-7,Unkn,FAU5,23.5051270787161,NaN
,B08,SYBR,oac-7,Unkn,FAU5,23.3434666833087,NaN
,B09,SYBR,oac-7,NRT,N2,38.5379810406391,NaN
,C02,SYBR,ceh-74,NRT,N2,34.4272378796135,NaN
,C03,SYBR,ceh-74,Unkn,N2,25.5179348767085,NaN
,C04,SYBR,ceh-74,Unkn,N2,25.5627449512275,NaN
,C05,SYBR,ceh-74,Unkn,N2,25.5357218840602,NaN
,C06,SYBR,ceh-74,Unkn,FAU5,20.5057666004082,NaN
,C07,SYBR,ceh-74,Unkn,FAU5,20.4617382854003,NaN
,C08,SYBR,ceh-74,Unkn,FAU5,20.3910547767047,NaN
,C09,SYBR,ceh-74,NRT,N2,33.6946162825734,NaN
,D02,SYBR,zip-2,NRT,N2,NaN,NaN
,D03,SYBR,zip-2,Unkn,N2,24.5107432520539,NaN
,D04,SYBR,zip-2,Unkn,N2,24.4326178733612,NaN
,D05,SYBR,zip-2,Unkn,N2,24.3961991713548,NaN
,D06,SYBR,zip-2,Unkn,FAU5,23.2145386259276,NaN
,D07,SYBR,zip-2,Unkn,FAU5,23.1762840286754,NaN
,D08,SYBR,zip-2,Unkn,FAU5,23.086696346776,NaN
,D09,SYBR,zip-2,NRT,N2,NaN,NaN
,E02,SYBR,pals-24,NRT,N2,34.5845097150753,NaN
,E03,SYBR,pals-24,Unkn,N2,25.444192694808,NaN
,E04,SYBR,pals-24,Unkn,N2,25.4399350551266,NaN
,E05,SYBR,pals-24,Unkn,N2,25.4272010664757,NaN
,E06,SYBR,pals-24,Unkn,FAU5,22.197019663841,NaN
,E07,SYBR,pals-24,Unkn,FAU5,22.0964869269204,NaN
,E08,SYBR,pals-24,Unkn,FAU5,22.0519530772045,NaN
,E09,SYBR,pals-24,NRT,N2,35.0910897900526,NaN
,F02,SYBR,t22f3.11,NRT,N2,NaN,NaN
,F03,SYBR,t22f3.11,Unkn,N2,29.4758839670093,NaN
,F04,SYBR,t22f3.11,Unkn,N2,29.3240791874753,NaN
,F05,SYBR,t22f3.11,Unkn,N2,29.5635426847434,NaN
,F06,SYBR,t22f3.11,Unkn,FAU5,36.5095433392265,NaN
,F07,SYBR,t22f3.11,Unkn,FAU5,35.8057800533724,NaN
,F08,SYBR,t22f3.11,Unkn,FAU5,36.1990733819448,NaN
,F09,SYBR,t22f3.11,NRT,N2,NaN,NaN
