,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,B03,SYBR,daf-16,NRT,N2,-4.52725354141321,,NRT,Unassigned,False
,B04,SYBR,daf-16,Unkn,N2,1759.93489608133,,Unknown,Unassigned,False
,B05,SYBR,daf-16,Unkn,N2,1905.1820295976,,Unknown,Unassigned,False
,B06,SYBR,daf-16,Unkn,N2,1980.52340251864,,Unknown,Unassigned,False
,B07,SYBR,daf-16,Unkn,RB2060,1579.12183846593,,Unknown,Unassigned,False
,B08,SYBR,daf-16,Unkn,RB2060,1485.52410824303,,Unknown,Unassigned,False
,B09,SYBR,daf-16,Unkn,RB2060,1799.30878043585,,Unknown,Unassigned,False
,B10,SYBR,daf-16,NRT,RB2060,86.9561223642058,,NRT,Unassigned,False
,C03,SYBR,zip-2,NRT,N2,1313.69832652132,,NRT,Unassigned,False
,C04,SYBR,zip-2,Unkn,N2,5893.0899077998,,Unknown,Unassigned,False
,C05,SYBR,zip-2,Unkn,N2,6102.64126194975,,Unknown,Unassigned,False
,C06,SYBR,zip-2,Unkn,N2,6183.36301307087,,Unknown,Unassigned,False
,C07,SYBR,zip-2,Unkn,RB2060,6577.86699709522,,Unknown,Unassigned,False
,C08,SYBR,zip-2,Unkn,RB2060,6607.66484041347,,Unknown,Unassigned,False
,C09,SYBR,zip-2,Unkn,RB2060,6634.47394235627,,Unknown,Unassigned,False
,C10,SYBR,zip-2,NRT,RB2060,1851.22815730843,,NRT,Unassigned,False
,D03,SYBR,fbxa-128,NRT,N2,-1.4770890793764,,NRT,Unassigned,False
,D04,SYBR,fbxa-128,Unkn,N2,2924.82455891458,,Unknown,Unassigned,False
,D05,SYBR,fbxa-128,Unkn,N2,3034.17153017475,,Unknown,Unassigned,False
,D06,SYBR,fbxa-128,Unkn,N2,2931.12059218286,,Unknown,Unassigned,False
,D07,SYBR,fbxa-128,Unkn,RB2060,5451.54283044299,,Unknown,Unassigned,False
,D08,SYBR,fbxa-128,Unkn,RB2060,5716.94422810475,,Unknown,Unassigned,False
,D09,SYBR,fbxa-128,Unkn,RB2060,5776.87480825687,,Unknown,Unassigned,False
,D10,SYBR,fbxa-128,NRT,RB2060,-0.408313885669486,,NRT,Unassigned,False
,E03,SYBR,ceh-74,NRT,N2,1917.97700114925,,NRT,Unassigned,False
,E04,SYBR,ceh-74,Unkn,N2,4993.85955109462,,Unknown,Unassigned,False
,E05,SYBR,ceh-74,Unkn,N2,5350.77063878479,,Unknown,Unassigned,False
,E06,SYBR,ceh-74,Unkn,N2,5353.54368957534,,Unknown,Unassigned,False
,E07,SYBR,ceh-74,Unkn,RB2060,5839.12876180928,,Unknown,Unassigned,False
,E08,SYBR,ceh-74,Unkn,RB2060,6018.08833607599,,Unknown,Unassigned,False
,E09,SYBR,ceh-74,Unkn,RB2060,5977.98309812058,,Unknown,Unassigned,False
,E10,SYBR,ceh-74,NRT,RB2060,2089.7948464005,,NRT,Unassigned,False
,G03,SYBR,cest-34,NRT,N2,760.735111507344,,NRT,Unassigned,False
,G04,SYBR,cest-34,Unkn,N2,3457.41712162062,,Unknown,Unassigned,False
,G05,SYBR,cest-34,Unkn,N2,3868.14108289043,,Unknown,Unassigned,False
,G06,SYBR,cest-34,Unkn,N2,3794.35308223637,,Unknown,Unassigned,False
,G07,SYBR,cest-34,Unkn,RB2060,4374.39164423174,,Unknown,Unassigned,False
,G08,SYBR,cest-34,Unkn,RB2060,4503.92657895062,,Unknown,Unassigned,False
,G09,SYBR,cest-34,Unkn,RB2060,4581.39000486681,,Unknown,Unassigned,False
,G10,SYBR,cest-34,NRT,RB2060,420.011425760801,,NRT,Unassigned,False
,H03,SYBR,tba-1,NRT,N2,2582.8265378951,,NRT,Unassigned,False
,H04,SYBR,tba-1,Unkn,N2,4999.44129899138,,Unknown,Unassigned,False
,H05,SYBR,tba-1,Unkn,N2,5007.74487964053,,Unknown,Unassigned,False
,H06,SYBR,tba-1,Unkn,N2,5215.4209187339,,Unknown,Unassigned,False
,H07,SYBR,tba-1,Unkn,RB2060,5371.07054768399,,Unknown,Unassigned,False
,H08,SYBR,tba-1,Unkn,RB2060,5879.48602112791,,Unknown,Unassigned,False
,H09,SYBR,tba-1,Unkn,RB2060,5591.06648827902,,Unknown,Unassigned,False
,H10,SYBR,cest-34,NRT,RB2060,3272.71698905181,,NRT,Unassigned,False
