,Well,Fluor,Target,Content,Sample,Melt Temp
,B03,SYBR,daf-16,NRT,N2,None
,B04,SYBR,daf-16,Unkn,N2,None
,B05,SYBR,daf-16,Unkn,N2,73
,B06,SYBR,daf-16,Unkn,N2,None
,B07,SYBR,daf-16,Unkn,RB2060,None
,B08,SYBR,daf-16,Unkn,RB2060,None
,B09,SYBR,daf-16,Unkn,RB2060,79
,B10,SYBR,daf-16,NRT,RB2060,None
,C03,SYBR,zip-2,NRT,N2,71
,C04,SYBR,zip-2,Unkn,N2,81
,C05,SYBR,zip-2,Unkn,N2,81
,C06,SYBR,zip-2,Unkn,N2,81
,C07,SYBR,zip-2,Unkn,RB2060,81
,C08,SYBR,zip-2,Unkn,RB2060,81
,C09,SYBR,zip-2,Unkn,RB2060,81
,C10,SYBR,zip-2,NRT,RB2060,71.5
,D03,SYBR,fbxa-128,NRT,N2,None
,D04,SYBR,fbxa-128,Unkn,N2,75.5
,D05,SYBR,fbxa-128,Unkn,N2,75.5
,D06,SYBR,fbxa-128,Unkn,N2,75.5
,D07,SYBR,fbxa-128,Unkn,RB2060,75
,D08,SYBR,fbxa-128,Unkn,RB2060,75
,D09,SYBR,fbxa-128,Unkn,RB2060,75
,D10,SYBR,fbxa-128,NRT,RB2060,None
,E03,SYBR,ceh-74,NRT,N2,71
,E04,SYBR,ceh-74,Unkn,N2,77.5
,E05,SYBR,ceh-74,Unkn,N2,77.5
,E06,SYBR,ceh-74,Unkn,N2,77.5
,E07,SYBR,ceh-74,Unkn,RB2060,77.5
,E08,SYBR,ceh-74,Unkn,RB2060,77.5
,E09,SYBR,ceh-74,Unkn,RB2060,77.5
,E10,SYBR,ceh-74,NRT,RB2060,71
,G03,SYBR,cest-34,NRT,N2,72.5
,G04,SYBR,cest-34,Unkn,N2,75
,G05,SYBR,cest-34,Unkn,N2,75
,G06,SYBR,cest-34,Unkn,N2,75
,G07,SYBR,cest-34,Unkn,RB2060,75
,G08,SYBR,cest-34,Unkn,RB2060,75
,G09,SYBR,cest-34,Unkn,RB2060,75
,G10,SYBR,cest-34,NRT,RB2060,70
,H03,SYBR,tba-1,NRT,N2,75
,H04,SYBR,tba-1,Unkn,N2,79.5
,H05,SYBR,tba-1,Unkn,N2,79.5
,H06,SYBR,tba-1,Unkn,N2,79.5
,H07,SYBR,tba-1,Unkn,RB2060,79.5
,H08,SYBR,tba-1,Unkn,RB2060,79.5
,H09,SYBR,tba-1,Unkn,RB2060,79.5
,H10,SYBR,cest-34,NRT,RB2060,76
