,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,tba-1,Unkn,N2,22.4755395921442,NaN
,A02,SYBR,tba-1,Unkn,N2,22.5128931225116,NaN
,A03,SYBR,tba-1,Unkn,N2,22.5301401708065,NaN
,A04,SYBR,tba-1,Unkn,N2 treated,25.0249546515017,NaN
,A05,SYBR,tba-1,Unkn,N2 treated,25.0638060720238,NaN
,A06,SYBR,tba-1,Unkn,N2 treated,25.0134967735991,NaN
,A07,SYBR,tba-1,Unkn,FAU5,23.5934803748947,NaN
,A08,SYBR,tba-1,Unkn,FAU5,23.171187592974,NaN
,A09,SYBR,tba-1,Unkn,FAU5,23.1437555514908,NaN
,A10,SYBR,tba-1,Unkn,FAU5 treated,23.407580304885,NaN
,A11,SYBR,tba-1,Unkn,FAU5 treated,23.604526679523,NaN
,A12,SYBR,tba-1,Unkn,FAU5 treated,NaN,NaN
,B01,SYBR,fbxa-79,Unkn,N2,24.8727974111619,NaN
,B02,SYBR,fbxa-79,Unkn,N2,24.9491696178274,NaN
,B03,SYBR,fbxa-79,Unkn,N2,24.7492547834417,NaN
,B04,SYBR,fbxa-79,Unkn,N2 treated,25.0811580109726,NaN
,B05,SYBR,fbxa-79,Unkn,N2 treated,25.2689755152802,NaN
,B06,SYBR,fbxa-79,Unkn,N2 treated,25.3209164394418,NaN
,B07,SYBR,fbxa-79,Unkn,FAU5,26.0910453891619,NaN
,B08,SYBR,fbxa-79,Unkn,FAU5,25.8135071910476,NaN
,B09,SYBR,fbxa-79,Unkn,FAU5,25.585847901391,NaN
,B10,SYBR,fbxa-79,Unkn,FAU5 treated,24.7315406791143,NaN
,B11,SYBR,fbxa-79,Unkn,FAU5 treated,24.8074026939157,NaN
,B12,SYBR,fbxa-79,Unkn,FAU5 treated,24.8790360159453,NaN
,C01,SYBR,ugt-29,Unkn,N2,23.9865449468639,NaN
,C02,SYBR,ugt-29,Unkn,N2,23.872856526942,NaN
,C03,SYBR,ugt-29,Unkn,N2,23.7734590368466,NaN
,C04,SYBR,ugt-29,Unkn,N2 treated,22.1199228600393,NaN
,C05,SYBR,ugt-29,Unkn,N2 treated,22.1470253514651,NaN
,C06,SYBR,ugt-29,Unkn,N2 treated,22.2361139979633,NaN
,C07,SYBR,ugt-29,Unkn,FAU5,24.6765658780727,NaN
,C08,SYBR,ugt-29,Unkn,FAU5,24.4594913929747,NaN
,C09,SYBR,ugt-29,Unkn,FAU5,24.453287620815,NaN
,C10,SYBR,ugt-29,Unkn,FAU5 treated,21.7210711549966,NaN
,C11,SYBR,ugt-29,Unkn,FAU5 treated,21.7856640380288,NaN
,C12,SYBR,ugt-29,Unkn,FAU5 treated,22.001682341325,NaN
,D01,SYBR,ugt-31,Unkn,N2,31.3740232840351,NaN
,D02,SYBR,ugt-31,Unkn,N2,31.6975484658283,NaN
,D03,SYBR,ugt-31,Unkn,N2,31.6473293458267,NaN
,D04,SYBR,ugt-31,Unkn,N2 treated,31.380259084352,NaN
,D05,SYBR,ugt-31,Unkn,N2 treated,31.3680215992336,NaN
,D06,SYBR,ugt-31,Unkn,N2 treated,31.7562327411439,NaN
,D07,SYBR,ugt-31,Unkn,FAU5,33.0333188863577,NaN
,D08,SYBR,ugt-31,Unkn,FAU5,32.6107354447031,NaN
,D09,SYBR,ugt-31,Unkn,FAU5,32.3560927801004,NaN
,D10,SYBR,ugt-31,Unkn,FAU5 treated,30.3591451323641,NaN
,D11,SYBR,ugt-31,Unkn,FAU5 treated,30.0565355031362,NaN
,D12,SYBR,ugt-31,Unkn,FAU5 treated,29.8430559970662,NaN
,E01,SYBR,fbxa-79,Unkn,RB2060,25.0449161997314,NaN
,E02,SYBR,fbxa-79,Unkn,RB2060,25.0480518641551,NaN
,E03,SYBR,fbxa-79,Unkn,RB2060,24.9213384663147,NaN
,E04,SYBR,fbxa-79,Unkn,RB2060 treated,25.1706563038714,NaN
,E05,SYBR,fbxa-79,Unkn,RB2060 treated,25.1847649073058,NaN
,E06,SYBR,fbxa-79,Unkn,RB2060 treated,25.1981765449281,NaN
,E07,SYBR,tba-1,NRT,FAU5,NaN,NaN
,E08,SYBR,tba-1,NRT,FAU5 treated,NaN,NaN
,E09,SYBR,tba-1,NRT,RB2060,NaN,NaN
,E10,SYBR,tba-1,NRT,RB2060 treated,NaN,NaN
,E11,SYBR,tba-1,NRT,N2,NaN,NaN
,E12,SYBR,tba-1,NRT,N2 treated,NaN,NaN
,F01,SYBR,tba-1,Unkn,RB2060,24.6998775604616,NaN
,F02,SYBR,tba-1,Unkn,RB2060,24.6805879445229,NaN
,F03,SYBR,tba-1,Unkn,RB2060,24.6241292182632,NaN
,F04,SYBR,tba-1,Unkn,RB2060 treated,25.2504057173585,NaN
,F05,SYBR,tba-1,Unkn,RB2060 treated,25.3258731332303,NaN
,F06,SYBR,tba-1,Unkn,RB2060 treated,25.2642821288037,NaN
,F07,SYBR,fbxa-79,NRT,FAU5,NaN,NaN
,F08,SYBR,fbxa-79,NRT,FAU5 treated,NaN,NaN
,F09,SYBR,fbxa-79,NRT,RB2060,NaN,NaN
,F10,SYBR,fbxa-79,NRT,RB2060 treated,NaN,NaN
,F11,SYBR,fbxa-79,NRT,N2,NaN,NaN
,F12,SYBR,fbxa-79,NRT,N2 treated,NaN,NaN
,G01,SYBR,ugt-29,Unkn,RB2060,21.976379977045,NaN
,G02,SYBR,ugt-29,Unkn,RB2060,21.8226315306865,NaN
,G03,SYBR,ugt-29,Unkn,RB2060,21.796840017083,NaN
,G04,SYBR,ugt-29,Unkn,RB2060 treated,23.40369998725,NaN
,G05,SYBR,ugt-29,Unkn,RB2060 treated,23.2617281319988,NaN
,G06,SYBR,ugt-29,Unkn,RB2060 treated,23.2036439932061,NaN
,G07,SYBR,ugt-29,NRT,FAU5,NaN,NaN
,G08,SYBR,ugt-29,NRT,FAU5 treated,NaN,NaN
,G09,SYBR,ugt-29,NRT,RB2060,NaN,NaN
,G10,SYBR,ugt-29,NRT,RB2060 treated,NaN,NaN
,G11,SYBR,ugt-29,NRT,N2,NaN,NaN
,G12,SYBR,ugt-29,NRT,N2 treated,NaN,NaN
,H01,SYBR,ugt-31,Unkn,RB2060,27.5880796359595,NaN
,H02,SYBR,ugt-31,Unkn,RB2060,28.424555561886,NaN
,H03,SYBR,ugt-31,Unkn,RB2060,28.4822333910451,NaN
,H04,SYBR,ugt-31,Unkn,RB2060 treated,30.6163634563258,NaN
,H05,SYBR,ugt-31,Unkn,RB2060 treated,30.6948276921085,NaN
,H06,SYBR,ugt-31,Unkn,RB2060 treated,31.0405831478639,NaN
,H07,SYBR,ugt-31,NRT,FAU5,NaN,NaN
